                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92102,                 1.5452,                 1.0661,                0.97426,                0.89396,                0.98564,                0.79544,                0.71849,                 1.8918,                0.90736,             0.00065778,             0.00065778,             0.00065778
                      2,                 0.7633,                0.92955,                0.95669,                0.99204,                0.98116,                0.99461,                0.74451,                0.87961,                0.96475,                0.96888,              0.0011933,              0.0011933,              0.0011933
                      3,                0.73436,                 0.8047,                0.94608,                0.97529,                      1,                0.99461,                0.78035,                0.79568,                0.85893,                0.91508,              0.0015969,              0.0015969,              0.0015969
                      4,                0.71681,                 0.7013,                0.93893,                      1,                0.99919,                  0.995,                0.81915,                0.70554,                0.63905,                0.90378,               0.001406,               0.001406,               0.001406
                      5,                0.65919,                0.60498,                0.91183,                0.99773,                      1,                  0.995,                0.83204,                0.67455,                0.56005,                 0.8946,               0.001208,               0.001208,               0.001208
                      6,                0.65665,                0.56491,                 0.9124,                 0.9995,                      1,                  0.995,                0.85398,                0.60707,                0.54485,                0.88355,                0.00101,                0.00101,                0.00101
                      7,                0.60827,                0.50492,                0.90644,                 0.9994,                      1,                  0.995,                 0.8451,                0.64053,                0.49265,                0.88058,               0.000812,               0.000812,               0.000812
                      8,                0.58829,                0.47139,                0.89924,                0.99934,                      1,                  0.995,                0.84406,                 0.6089,                0.44481,                0.86728,               0.000614,               0.000614,               0.000614
                      9,                0.56562,                0.43832,                0.88846,                0.99941,                      1,                  0.995,                0.86776,                0.56583,                0.41122,                0.86085,               0.000416,               0.000416,               0.000416
                     10,                0.52156,                0.40352,                0.87362,                0.99809,                      1,                  0.995,                0.87779,                0.56083,                 0.3947,                0.84732,               0.000218,               0.000218,               0.000218
