                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2587,                 4.8394,                 1.0676,                0.72433,                0.66667,                0.67702,                 0.2741,                 2.1938,                 4.4212,                 1.0967,                0.00018,                0.00018,                0.00018
                      2,                 2.4528,                  4.221,                 1.0746,                0.74349,                0.58091,                0.68292,                0.28379,                 2.2261,                 4.2896,                  1.087,             0.00037749,             0.00037749,             0.00037749
                      3,                 2.3253,                 3.8748,                 1.1044,                0.73884,                0.37917,                0.66817,                0.25003,                 2.2389,                 4.4905,                 1.1297,             0.00057234,             0.00057234,             0.00057234
                      4,                 2.3877,                 4.3274,                 1.0877,                0.85911,                0.40734,                0.65913,                0.21199,                 2.5339,                 4.4436,                 1.2762,             0.00076456,             0.00076456,             0.00076456
                      5,                 2.3229,                 3.7574,                  1.066,                0.79802,                    0.8,                0.76666,                0.23056,                 2.5118,                 3.3433,                 1.2256,             0.00095413,             0.00095413,             0.00095413
                      6,                  2.329,                 3.6961,                 1.0462,                 0.9038,                0.73333,                0.78438,                0.27639,                  2.309,                 4.0373,                 1.1229,              0.0011411,              0.0011411,              0.0011411
                      7,                  2.369,                 3.7253,                 1.0849,                0.81163,                0.28992,                0.73712,                0.22184,                 2.2886,                 3.9684,                 1.1298,              0.0013254,              0.0013254,              0.0013254
                      8,                 2.2769,                 3.7542,                  1.072,                0.85545,                0.86667,                 0.8561,                0.35704,                 2.0543,                 2.8404,                 1.1139,               0.001507,               0.001507,               0.001507
                      9,                 2.2981,                 4.0515,                 1.0799,                0.80454,                 0.8242,                0.84456,                0.30972,                 2.1913,                 3.2614,                 1.1373,               0.001686,               0.001686,               0.001686
                     10,                 2.2472,                 3.5503,                  1.049,                0.68754,                0.88074,                0.85476,                0.35413,                 2.1335,                 2.8745,                 1.1043,              0.0018624,              0.0018624,              0.0018624
                     11,                 2.2781,                  3.154,                 1.0462,                0.84463,                0.72539,                0.88284,                0.40103,                 2.0248,                  2.921,                 1.0741,               0.001868,               0.001868,               0.001868
                     12,                 2.1276,                 3.4407,                 1.0312,                      1,                0.66922,                0.90905,                0.30926,                 2.1356,                 3.1811,                 1.0969,              0.0018548,              0.0018548,              0.0018548
                     13,                 2.0988,                 3.2235,                 1.0356,                0.99688,                    0.8,                0.96502,                 0.3975,                 1.9623,                 3.0584,                 1.0586,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.9543,                 2.6982,                 1.0059,                0.77083,                0.93333,                0.92072,                0.32757,                 2.1219,                 3.2414,                 1.0977,              0.0018284,              0.0018284,              0.0018284
                     15,                 2.1865,                 3.0363,                 1.0501,                0.93085,                      1,                0.99125,                0.39537,                 1.8912,                 3.4862,                 1.0739,              0.0018152,              0.0018152,              0.0018152
                     16,                 2.1966,                 3.1688,                 1.0191,                0.93295,                0.92794,                0.98327,                0.37962,                 1.8057,                 2.6846,                 1.0379,               0.001802,               0.001802,               0.001802
                     17,                 2.0198,                 2.5938,                  1.022,                0.87324,                      1,                0.97471,                0.39355,                 1.9282,                 2.3901,                 1.0481,              0.0017888,              0.0017888,              0.0017888
                     18,                 2.0091,                 2.2098,                0.96027,                0.92199,                0.78874,                0.93001,                0.35349,                 2.1042,                 2.3053,                 1.0908,              0.0017756,              0.0017756,              0.0017756
                     19,                 2.0001,                 2.7669,                0.95436,                0.67997,                0.86667,                0.85292,                0.37246,                 2.0056,                  2.447,                 1.0918,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.9978,                 2.5148,                  1.042,                0.66269,                0.78649,                0.81803,                0.38449,                 1.9943,                 2.3135,                 1.0838,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.9719,                 2.4003,                 1.0131,                0.92778,                 0.8571,                0.94616,                0.41871,                 2.0333,                 2.2184,                 1.0712,               0.001736,               0.001736,               0.001736
                     22,                 2.0259,                 2.3014,                 1.0205,                0.92916,                0.93333,                0.93044,                0.47542,                 1.7847,                 1.7535,                 1.0403,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.9341,                 2.1573,                 1.0035,                0.92866,                0.93333,                0.92177,                0.45342,                 1.7776,                 1.7452,                 1.0452,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.9565,                  1.975,                0.99124,                      1,                0.79574,                0.91342,                0.41773,                 1.9224,                 1.7805,                 1.0826,              0.0016964,              0.0016964,              0.0016964
                     25,                  1.991,                 1.9492,                0.98425,                0.91087,                0.93333,                0.97861,                0.41577,                 2.0297,                 1.8526,                 1.1077,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.9262,                 2.0017,                0.97206,                 0.9233,                      1,                0.98688,                0.31298,                 2.2874,                 1.8273,                 1.1522,                0.00167,                0.00167,                0.00167
                     27,                 1.8741,                  1.937,                 0.9448,                0.82707,                      1,                0.96696,                0.34817,                 2.1111,                 1.7577,                 1.1446,              0.0016568,              0.0016568,              0.0016568
                     28,                 2.0001,                 1.8228,                0.97612,                0.74401,                0.96966,                0.93448,                0.36765,                  1.969,                 1.7199,                 1.1181,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.9822,                 1.6802,                 1.0155,                      1,                0.78165,                  0.945,                0.38752,                  2.006,                 1.7094,                 1.0923,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.8012,                  1.612,                 0.9952,                0.98791,                0.93333,                0.95231,                 0.3974,                  1.995,                 1.6404,                 1.0437,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.9588,                 1.6438,                 1.0193,                0.92915,                0.93333,                0.93512,                0.40611,                 2.1022,                 1.5298,                 1.0704,               0.001604,               0.001604,               0.001604
                     32,                 1.8512,                 1.6726,                0.94741,                0.80739,                0.93333,                0.90543,                 0.3927,                 2.2844,                 1.6159,                 1.1095,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.8853,                 1.7371,                 1.0191,                0.98407,                0.93333,                0.99125,                  0.464,                 2.1086,                 1.5163,                 1.0779,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.8728,                 1.4818,                0.99039,                0.98958,                      1,                  0.995,                0.44009,                  1.795,                 1.3286,                 1.0439,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.8311,                 1.4757,                0.98161,                 0.9229,                0.93333,                0.92258,                0.38597,                 1.8607,                 1.3691,                 1.0628,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.8349,                  1.541,                0.99623,                0.92041,                0.93333,                0.92004,                0.38446,                 1.9126,                 1.3506,                 1.0626,               0.001538,               0.001538,               0.001538
                     37,                 1.8122,                 1.4929,                0.96418,                0.98959,                      1,                  0.995,                 0.3948,                 1.9742,                  1.346,                 1.0615,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.6935,                 1.3703,                0.92895,                0.99325,                      1,                  0.995,                0.43735,                 1.9151,                 1.2759,                 1.0609,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.7413,                 1.3062,                0.96113,                0.98745,                      1,                  0.995,                0.46386,                 1.9154,                 1.2579,                 1.0658,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.8247,                 1.4788,                0.96809,                0.99338,                      1,                  0.995,                0.45055,                 1.9108,                 1.2313,                  1.067,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.6117,                 1.3712,                0.92539,                0.99149,                      1,                  0.995,                0.45906,                 1.8793,                  1.313,                  1.038,               0.001472,               0.001472,               0.001472
                     42,                 1.6879,                 1.3817,                0.94147,                      1,                0.98852,                  0.995,                0.46051,                 1.9631,                 1.3109,                 1.0131,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.8894,                 1.3235,                0.99032,                 0.9928,                0.86667,                0.93045,                0.44123,                 1.9715,                 1.3083,                 1.0195,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.8444,                 1.3175,                0.95414,                0.99411,                0.86667,                0.92637,                0.42385,                 1.9639,                 1.3063,                 1.0348,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.7983,                 1.3215,                0.96876,                0.99318,                0.86667,                0.93046,                0.43215,                 2.0219,                  1.319,                 1.0417,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.7682,                 1.2405,                0.96586,                      1,                0.99436,                  0.995,                0.38041,                 2.1305,                  1.309,                 1.0865,               0.001406,               0.001406,               0.001406
                     47,                 1.7624,                 1.2065,                0.93373,                0.99444,                      1,                  0.995,                0.39689,                 2.0722,                  1.271,                 1.0786,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.8397,                  1.228,                0.95978,                0.99169,                      1,                  0.995,                0.41387,                 2.0309,                 1.2131,                 1.0602,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.8249,                 1.1521,                0.93431,                0.92967,                      1,                 0.9825,                0.43898,                 2.0044,                 1.2201,                 1.0529,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.8488,                 1.2936,                0.98526,                0.93089,                      1,                0.99125,                0.37605,                 2.0544,                 1.2311,                 1.0491,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.6891,                 1.1586,                0.94289,                0.92398,                0.93333,                0.93045,                0.34008,                 2.0749,                 1.2191,                 1.0449,                0.00134,                0.00134,                0.00134
                     52,                 1.7513,                 1.1942,                0.94768,                0.98613,                0.93333,                0.99125,                0.36963,                 2.0692,                 1.1969,                  1.052,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.7872,                 1.1067,                0.97229,                 0.9366,                0.98564,                0.99125,                0.37373,                 1.9966,                 1.1417,                 1.0463,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.7278,                 1.1251,                0.94965,                0.99712,                0.93333,                  0.985,                0.42139,                  1.853,                 1.0839,                 1.0158,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.5527,                  1.045,                0.93346,                      1,                 0.9239,                0.98237,                0.43943,                 1.8236,                 1.0898,                 1.0164,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.6368,                 1.0884,                 0.8693,                      1,                0.92528,                  0.985,                 0.4722,                 1.8477,                 1.0687,                 1.0246,               0.001274,               0.001274,               0.001274
                     57,                 1.7683,                 1.1087,                0.96197,                      1,                0.92762,                  0.985,                0.44516,                 1.9563,                  1.106,                 1.0468,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.6542,                 1.0558,                0.92648,                      1,                0.93015,                  0.985,                0.41932,                 2.0295,                 1.0736,                 1.0901,              0.0012476,              0.0012476,              0.0012476
